studyID	target	untargeted	un-mapped	Targeted	Un-mapped	Untargeted
MTBLS242				3.0		1.0
MTBLS243				5.0	1.0	
MTBLS244				4.0	3.0	
MTBLS247				2.0	2.0	1.0
MTBLS249				3.0	3.0	
MTBLS253				4.0	1.0	
MTBLS256				4.0		1.0
MTBLS259					3.0	1.0
MTBLS260				3.0	1.0	1.0
MTBLS261				4.0	1.0	
MTBLS263				3.0	1.0	1.0
MTBLS264				3.0	1.0	1.0
MTBLS265				2.0	1.0	1.0
MTBLS266				2.0	1.0	1.0
MTBLS267				2.0	1.0	1.0
MTBLS269				3.0	1.0	1.0
MTBLS270				3.0		1.0
MTBLS272				7.0		1.0
MTBLS273				2.0		1.0
MTBLS274				5.0		1.0
MTBLS275				3.0	1.0	1.0
MTBLS276				3.0	1.0	
MTBLS277				5.0	1.0	1.0
MTBLS278				3.0	1.0	1.0
MTBLS279				3.0	1.0	
MTBLS280				4.0	1.0	
MTBLS281				4.0	2.0	1.0
MTBLS282				2.0		1.0
MTBLS283				4.0	3.0	1.0
MTBLS286				2.0		1.0
MTBLS287				2.0		1.0
MTBLS288				2.0		1.0
MTBLS289				2.0		1.0
MTBLS290				4.0	3.0	
MTBLS291				3.0	1.0	1.0
MTBLS292				4.0	1.0	
MTBLS293				3.0	1.0	1.0
MTBLS295				3.0	1.0	1.0
MTBLS296				4.0		1.0
MTBLS297				1.0	2.0	1.0
MTBLS298				4.0		1.0
MTBLS303				3.0	2.0	1.0
MTBLS304				4.0		1.0
MTBLS306				6.0		1.0
MTBLS307				5.0	1.0	1.0
MTBLS309				6.0	1.0	
MTBLS311				4.0	1.0	
MTBLS312				8.0	2.0	1.0
MTBLS313				2.0	2.0	1.0
MTBLS315				8.0	1.0	1.0
MTBLS316				6.0		1.0
MTBLS317				2.0	4.0	
MTBLS319				3.0		1.0
MTBLS320				5.0		1.0
MTBLS321				1.0	1.0	1.0
MTBLS322				8.0		1.0
MTBLS323					1.0	1.0
MTBLS326				2.0	1.0	1.0
MTBLS327				3.0	2.0	
MTBLS328				3.0		1.0
MTBLS330				1.0	2.0	1.0
MTBLS331				4.0	1.0	
MTBLS332				4.0	1.0	1.0
MTBLS333				2.0		1.0
MTBLS334				5.0		1.0
MTBLS335				3.0		1.0
MTBLS336				4.0		1.0
MTBLS337				6.0		1.0
MTBLS338				3.0		1.0
MTBLS340				4.0		1.0
MTBLS341				4.0		1.0
MTBLS342				2.0		1.0
MTBLS343				7.0		1.0
MTBLS345				3.0	1.0	1.0
MTBLS346				2.0	1.0	1.0
MTBLS349				1.0	1.0	1.0
MTBLS350				2.0		1.0
MTBLS352				3.0		1.0
MTBLS354				6.0		1.0
MTBLS355				2.0	2.0	1.0
MTBLS356				3.0		1.0
MTBLS358				6.0	3.0	1.0
MTBLS359				4.0		1.0
MTBLS360				4.0		1.0
MTBLS361				3.0	2.0	
MTBLS362				1.0	1.0	
MTBLS363				1.0	1.0	1.0
MTBLS364				3.0		1.0
MTBLS366				2.0	1.0	1.0
MTBLS367				4.0	3.0	
MTBLS368				5.0	1.0	
MTBLS370				2.0	2.0	1.0
MTBLS372				4.0	2.0	1.0
MTBLS373				2.0	2.0	
MTBLS374				3.0		1.0
MTBLS375				4.0		1.0
MTBLS376				2.0		1.0
MTBLS378				2.0	2.0	1.0
MTBLS379				3.0	1.0	1.0
MTBLS380				3.0	1.0	
MTBLS381				2.0		1.0
MTBLS382				3.0		1.0
MTBLS383				4.0	1.0	1.0
MTBLS384				5.0	2.0	1.0
MTBLS385				4.0		1.0
MTBLS386				1.0		1.0
MTBLS387				6.0	1.0	1.0
MTBLS389				2.0	3.0	
MTBLS390				3.0	1.0	
MTBLS391				5.0		1.0
MTBLS392				3.0	2.0	1.0
MTBLS393				3.0	1.0	1.0
MTBLS394				5.0		1.0
MTBLS395				2.0	2.0	
MTBLS396				5.0		1.0
MTBLS397				3.0		1.0
MTBLS398				5.0		1.0
MTBLS399				3.0		1.0
MTBLS400				5.0	2.0	1.0
MTBLS401				3.0		1.0
MTBLS402				2.0		1.0
MTBLS403				2.0	2.0	1.0
MTBLS404				2.0		1.0
MTBLS405				2.0	1.0	
MTBLS408				3.0		1.0
MTBLS409				3.0	1.0	
MTBLS410				2.0	1.0	
MTBLS411				2.0	2.0	1.0
MTBLS412				1.0	2.0	
MTBLS413				4.0		1.0
MTBLS414				5.0	2.0	1.0
MTBLS415				1.0		1.0
MTBLS417				4.0	1.0	1.0
MTBLS418				3.0		1.0
MTBLS419				6.0	1.0	
MTBLS420				2.0	2.0	1.0
MTBLS422				2.0		1.0
MTBLS423				2.0	1.0	1.0
MTBLS424				3.0	2.0	
MTBLS425				6.0		1.0
MTBLS426				6.0	1.0	1.0
MTBLS427				1.0	4.0	1.0
MTBLS428				2.0	1.0	
MTBLS429				1.0	3.0	
MTBLS430				4.0		1.0
MTBLS431				3.0	1.0	1.0
MTBLS432				4.0		1.0
MTBLS433				1.0	2.0	1.0
MTBLS434				8.0	1.0	
MTBLS435				7.0	2.0	
MTBLS436				5.0		1.0
MTBLS437				3.0		1.0
MTBLS441				1.0	2.0	1.0
MTBLS444				3.0		1.0
MTBLS445				2.0	1.0	1.0
MTBLS447				5.0	1.0	1.0
MTBLS449				6.0	1.0	
MTBLS450				2.0		1.0
MTBLS451				2.0	1.0	1.0
MTBLS452				7.0	1.0	1.0
MTBLS453				3.0		1.0
MTBLS454				2.0	1.0	1.0
MTBLS455				8.0		1.0
MTBLS456				3.0	1.0	1.0
MTBLS457				2.0	1.0	1.0
MTBLS459				5.0		1.0
MTBLS460				5.0		1.0
MTBLS461				3.0	1.0	1.0
MTBLS462				3.0		1.0
MTBLS463				5.0		1.0
MTBLS464				4.0		1.0
MTBLS465				3.0		1.0
MTBLS470				3.0		1.0
MTBLS471				3.0		1.0
MTBLS472				7.0	1.0	
MTBLS473				4.0		1.0
MTBLS478				3.0		1.0
MTBLS479				5.0		1.0
MTBLS481				1.0	2.0	1.0
MTBLS482				3.0	1.0	1.0
MTBLS483				6.0		1.0
MTBLS484				3.0		1.0
MTBLS487				3.0	1.0	
MTBLS488				4.0	1.0	
MTBLS492				4.0		1.0
