Type	Counts	Technique	Full Name
LC-MS	1	UFLC-LTQ-MS/MS	Ultra Fast Liquid Chromatography Linear Trap Quadrupole Tandem MS
MS	1	3D LAESI imaging MS	3-Dimensional Laser Ablation Electrospray Ionization imaging MS
MS	1	MS	Mass Spectrometry
LC-MS	1	LC-MS	Liquid Chromatography MS
Imaging	1	MALDI imaging MS	Matrix Assisted Laser Desorption/Ionization imaging MS
LC-MS	1	LMJ-SSP/ESI imaging MS	Liquid Microjunction-Surface Sampling Probe/Electrospray Ionization imaging MS
SPE	1	SPME-GCxGC-TOF-MS	Solid-Phase-Micro-Extraction Tandem Gas Chromatography Time-Of-Flight MS
Direct Infusion	1	DI-TQ-MS/MS	Direct Infusion Triple Quadrupole Tandem MS
LC-MS	1	HPLC-FT-ICR-MS	High Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS
Direct Infusion	1	FIA-LTQ-MS	Flow Injection Analysis Linear Trap Quadrupole MS
LC-MS	1	HPLC-QIT-MS	High Performance Liquid Chromatography Quadrupole Ion Trap MS
LC-MS	1	UFLC-QTOF-MS/MS	Ultra Fast Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS
	1	Smash into a million pieces!!!	
LC-MS	1	LC-MS simulation	Liquid Chromatography MS simulation
MS	1	3D MALDI imaging MS simulation	3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS simulation
LC-MS	1	LC-TOF-MS	Liquid Chromatography Time-Of-Flight MS
	1	ISACreator itself submitted	
