term	count
Mffgc Accession No.	7
Genotype	7
Replicate	7
Type	7
Population Id	7
Country Of Origin	7
Site	1
Plant	1
Harvest Date	1
Fresh Weight	1
Species	1
Plot Type_Explo_Fert	1
Species Explo	1
Plot Type	1
Plot	1
Fertilized / Unfertilized	1
Exploratory	1
