term	count
Biological Replicate	2
Timepoint	2
Technical Replicate	1
Group	1
Sample Batch	1
Treatment	1
Bacteria	1
Gene	1
Pulldown	1
Bioassay	1
Genotype	1
Carbon Source	1
Duration	1
Inducer	1
Growth Medium	1
