MTBLS ID	Study Type
MTBLS135	UPLC-MS/MS
MTBLS136	
MTBLS137	UPLC-QTOF-MS
MTBLS140	HPLC-LTQ-MS/MS
MTBLS142	HPLC-QTOF-MS/MS
MTBLS143	UPLC-LTQ-MS
MTBLS144	UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS
MTBLS145	
MTBLS146	HPLC-LTQ-MS
MTBLS147	NMR
MTBLS148	UPLC-LTQ-MS
MTBLS149	NMR
MTBLS150	GCxGC-TOF-MS
MTBLS151	NMR
MTBLS152	GCxGC-TOF-MS
MTBLS154	UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS
MTBLS155	UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS
MTBLS156	MAS-NMR
MTBLS157	UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS
MTBLS158	
MTBLS159	
MTBLS160	UPLC-QTOF-MS
MTBLS161	NMR
MTBLS162	DI-LTQ-MS
MTBLS163	LC-TQ-MS/MS
MTBLS164	PTR-MS
MTBLS165	HPLC-LTQ-MS/MS
MTBLS166	NMR
MTBLS168	UPLC-TQ-MS
MTBLS169	UPLC-QTOF-MS
MTBLS170	GC-Q-MS
MTBLS171	GC-Q-MS
MTBLS172	NMR
MTBLS173	UPLC-LTQ-MS/MS;UPLC-TQ-MS;UPLC-QTOF-MS
MTBLS174	NMR
MTBLS175	GC-Q-MS;UPLC-QTOF-MS
MTBLS176	3D MALDI imaging MS;3D DESI imaging MS
MTBLS177	NMR
MTBLS178	UPLC-QTOF-MS/MS
MTBLS179	
MTBLS182	GC-Q-MS
MTBLS183	GC-Q-MS
MTBLS184	GC-Q-MS
MTBLS185	UPLC-LTQ-MS
MTBLS187	GC-Q-MS
MTBLS188	UPLC-QTOF-MS
MTBLS189	NMR
MTBLS191	GC-Q-MS
MTBLS193	UPLC-QTOF-MS
MTBLS194	HPLC-FT-ICR-MS
MTBLS196	GC-Q-MS;UPLC-LTQ-MS/MS
MTBLS197	HPLC-LTQ-MS
MTBLS198	HPLC-LTQ-MS/MS
MTBLS200	NMR;GC-TOF-MS
MTBLS203	UPLC-QTOF-MS/MS
MTBLS208	GC-TOF-MS
MTBLS209	UPLC-QTOF-MS;UPLC-TQ-MS
MTBLS210	DI-FT-ICR-MS/MS
MTBLS212	SPME-GCxGC-TOF-MS
MTBLS213	UPLC-MS
MTBLS214	UFLC-QTOF-MS/MS
MTBLS215	GC-TOF-MS
MTBLS216	LC-QTOF-MS
MTBLS217	HPLC-QTOF-MS
MTBLS218	UPLC-LTQ-MS
MTBLS219	GC-TOF-MS
MTBLS225	UPLC-TQ-MS;HPLC-TQ-MS/MS
MTBLS226	GCxGC-TOF-MS
MTBLS227	HPLC-IT-MS;MALDI-TOF/TOF-MS/MS
MTBLS228	HPLC-LTQ-MS
MTBLS229	HPLC-LTQ-MS
MTBLS230	NMR
MTBLS233	HPLC-LTQ-MS
