MTBLS ID	Study Type	Full name	Classify
MTBLS66	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS67	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS68	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS69	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS71	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS72	FIA-TQ-MS/MS	Flow Injection Analysis Triple Quadrupole Tandem MS	Direct Infusion
MTBLS72	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS73	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS74	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS75	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS76	DI-LTQ-MS	Direct Infusion Linear Trap Quadrupole MS	Direct Infusion
MTBLS77	NMR	Nuclear Magnetic Resonance	NMR
MTBLS79	DI-FT-ICR-MS	Direct Infusion Fourier Transform Ion Cyclotron Resonance MS	Direct Infusion
MTBLS81	UPLC-FT-ICR-MS	Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS	LC-MS
MTBLS81	UPLC-LTQ-FT-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS	LC-MS
MTBLS83	UPLC-MS/MS	Ultra Performance Liquid Chromatography Tandem MS	LC-MS
MTBLS85	UPLC-DAD	Ultra Performance Liquid Chromatography Diode Array Detection	LC-MS
MTBLS86	UPLC-DAD	Ultra Performance Liquid Chromatography Diode Array Detection	LC-MS
MTBLS87	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS88	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS89	UPLC-MS/MS	Ultra Performance Liquid Chromatography Tandem MS	LC-MS
MTBLS90	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS91	DI-FT-ICR-MS	Direct Infusion Fourier Transform Ion Cyclotron Resonance MS	Direct Infusion
MTBLS92	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS93	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS94	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS95	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS96	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS98	DI-LTQ-MS	Direct Infusion Linear Trap Quadrupole MS	Direct Infusion
MTBLS99	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS100	NMR	Nuclear Magnetic Resonance	NMR
MTBLS102	NMR	Nuclear Magnetic Resonance	NMR
MTBLS103	NMR	Nuclear Magnetic Resonance	NMR
MTBLS103	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS104	NMR	Nuclear Magnetic Resonance	NMR
MTBLS105	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS105	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS106			
MTBLS107	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS108	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS109	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS110	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS111	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS112	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS113	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS114	NMR	Nuclear Magnetic Resonance	NMR
MTBLS115	NMR	Nuclear Magnetic Resonance	NMR
MTBLS116	NMR	Nuclear Magnetic Resonance	NMR
MTBLS117	DI-LTQ-MS/MS	Direct Infusion Linear Trap Quadrupole Tandem MS	Direct Infusion
MTBLS118	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS119	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS120	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS123	NMR	Nuclear Magnetic Resonance	NMR
MTBLS124	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS125	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS126	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS127	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS128	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS129	UPLC-TOF-MS	Ultra Performance Liquid Chromatography Time-Of-Flight MS	LC-MS
MTBLS129	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS131	NMR	Nuclear Magnetic Resonance	NMR
MTBLS132	NMR	Nuclear Magnetic Resonance	NMR
MTBLS133	NMR	Nuclear Magnetic Resonance	NMR
MTBLS134	NMR	Nuclear Magnetic Resonance	NMR
MTBLS135	UPLC-MS/MS	Ultra Performance Liquid Chromatography Tandem MS	LC-MS
MTBLS136			
MTBLS137	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS140	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS142	HPLC-QTOF-MS/MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS143	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS144	UPLC-FT-ICR-MS	Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS	LC-MS
MTBLS144	UPLC-LTQ-FT-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS	LC-MS
MTBLS145			
MTBLS146	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS147	NMR	Nuclear Magnetic Resonance	NMR
MTBLS148	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS149	NMR	Nuclear Magnetic Resonance	NMR
MTBLS150	GCxGC-TOF-MS	Tandem Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS151	NMR	Nuclear Magnetic Resonance	NMR
MTBLS152	GCxGC-TOF-MS	Tandem Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS154	UPLC-FT-ICR-MS	Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS	LC-MS
MTBLS154	UPLC-LTQ-FT-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS	LC-MS
MTBLS154	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS155	UPLC-FT-ICR-MS	Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS	LC-MS
MTBLS155	UPLC-LTQ-FT-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS	LC-MS
MTBLS155	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS156	MAS-NMR	Magic Angle Spinning-Nuclear Magnetic Resonance	NMR
MTBLS157	UPLC-FT-ICR-MS	Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS	LC-MS
MTBLS157	UPLC-LTQ-FT-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS	LC-MS
MTBLS157	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS158			
MTBLS159			
MTBLS160	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS161	NMR	Nuclear Magnetic Resonance	NMR
MTBLS162	DI-LTQ-MS	Direct Infusion Linear Trap Quadrupole MS	Direct Infusion
MTBLS163	LC-TQ-MS/MS	Liquid Chromatography Triple Quadrupole Tandem MS	LC-MS
MTBLS164	PTR-MS	Proton Transfer Reaction MS	PTR
MTBLS165	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS166	NMR	Nuclear Magnetic Resonance	NMR
MTBLS168	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS169	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS170	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS171	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS172	NMR	Nuclear Magnetic Resonance	NMR
MTBLS173	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS173	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS173	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS174	NMR	Nuclear Magnetic Resonance	NMR
MTBLS175	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS175	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS176	3D MALDI imaging MS	3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS	MS
MTBLS176	3D DESI imaging MS	3-Dimensional Desorption Electrospray Ionization imaging MS (3D DESI imaging MS)	Imaging
MTBLS177	NMR	Nuclear Magnetic Resonance	NMR
MTBLS178	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS179			
MTBLS182	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS183	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS184	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS185	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS187	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS188	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS189	NMR	Nuclear Magnetic Resonance	NMR
MTBLS191	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS193	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS194	HPLC-FT-ICR-MS	High Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS	LC-MS
MTBLS196	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS196	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS197	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS198	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS200	NMR	Nuclear Magnetic Resonance	NMR
MTBLS200	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS203	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS208	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS209	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS209	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS210	DI-FT-ICR-MS/MS	Direct Infusion Fourier Transform Ion Cyclotron Resonance Tandem MS	Direct Infusion
MTBLS212	SPME-GCxGC-TOF-MS	Solid-Phase-Micro-Extraction Tandem Gas Chromatography Time-Of-Flight MS	SPE
MTBLS213	UPLC-MS	Ultra Performance Liquid Chromatography MS	LC-MS
MTBLS214	UFLC-QTOF-MS/MS	Ultra Fast Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS215	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS216	LC-QTOF-MS	Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS217	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS218	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS219	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS225	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS225	HPLC-TQ-MS/MS	High Performance Liquid Chromatography Triple Quarupole Tandem MS	LC-MS
MTBLS226	GCxGC-TOF-MS	Tandem Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS227	HPLC-IT-MS	High Performance Liquid Chromatography Ion Trap MS	LC-MS
MTBLS227	MALDI-TOF/TOF-MS/MS	Matrix Assisted Laser Desorption/Ionization Time-Of-Flight Tandem MS	MALDI MS
MTBLS228	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS229	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS230	NMR	Nuclear Magnetic Resonance	NMR
MTBLS233	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS234	LC-QTOF-MS	Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS235	LC-MS simulation	Liquid Chromatography MS simulation	LC-MS
MTBLS237	NMR	Nuclear Magnetic Resonance	NMR
MTBLS240	NMR	Nuclear Magnetic Resonance	NMR
MTBLS241	NMR	Nuclear Magnetic Resonance	NMR
MTBLS242	NMR	Nuclear Magnetic Resonance	NMR
MTBLS243	HPLC-TQ-MS/MS	High Performance Liquid Chromatography Triple Quarupole Tandem MS	LC-MS
MTBLS244	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS247	NMR	Nuclear Magnetic Resonance	NMR
MTBLS249	NMR	Nuclear Magnetic Resonance	NMR
MTBLS253	HPLC-TQ-MS	High Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS256	NMR	Nuclear Magnetic Resonance	NMR
MTBLS259	DI-FT-ICR-MS	Direct Infusion Fourier Transform Ion Cyclotron Resonance MS	Direct Infusion
MTBLS260	DI-FT-ICR-MS	Direct Infusion Fourier Transform Ion Cyclotron Resonance MS	Direct Infusion
MTBLS261	NMR	Nuclear Magnetic Resonance	NMR
MTBLS263	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS264	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS265	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS266	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS267	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS269	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS270	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS272	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS273	3D DESI imaging MS	3-Dimensional Desorption Electrospray Ionization imaging MS (3D DESI imaging MS)	Imaging
MTBLS274	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS275	NMR	Nuclear Magnetic Resonance	NMR
MTBLS276	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS277	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS278	UPLC-TQ-MS/MS	Ultra Performance Liquid Chromatography Triple Quarupole Tandem MS	LC-MS
MTBLS279	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS280	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS281	UPLC-FT-ICR-MS	Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS	LC-MS
MTBLS281	UPLC-LTQ-FT-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS	LC-MS
