MTBLS ID	Study Type	Full name	Classify
MTBLS306	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS307	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS309	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS309	GC-TQ-MS	Gas Chromatography Triple Quarupole MS	GC-MS
MTBLS309	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS311	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS311	GC-TQ-MS	Gas Chromatography Triple Quarupole MS	GC-MS
MTBLS312	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS312	GC-TQ-MS	Gas Chromatography Triple Quarupole MS	GC-MS
MTBLS312	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS313	3D MALDI imaging MS	3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS	MS
MTBLS315	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS315	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS315	LC-QTOF-MS	Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS316	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS317	3D MALDI imaging MS simulation	3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS simulation	MS
MTBLS319	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS320	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS321	GC-QTOF-MS	Gas Chromatography Quadrupole Time-Of-Flight MS	GC-MS
MTBLS322	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS323	DI-LTQ-MS/MS	Direct Infusion Linear Trap Quadrupole Tandem MS	Direct Infusion
MTBLS326	NMR	Nuclear Magnetic Resonance	NMR
MTBLS327	DI-LTQ-MS	Direct Infusion Linear Trap Quadrupole MS	Direct Infusion
MTBLS328	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS330	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS331	NMR	Nuclear Magnetic Resonance	NMR
MTBLS332	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS333	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS334	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS335	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS336	NMR	Nuclear Magnetic Resonance	NMR
MTBLS336	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS337	NMR	Nuclear Magnetic Resonance	NMR
MTBLS338	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS338	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS340	NMR	Nuclear Magnetic Resonance	NMR
MTBLS341	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS341	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS342	NMR	Nuclear Magnetic Resonance	NMR
MTBLS343	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS345	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS346	NMR	Nuclear Magnetic Resonance	NMR
MTBLS349	NMR	Nuclear Magnetic Resonance	NMR
MTBLS350	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS352	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS354	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS355	DI-FT-ICR-MS	Direct Infusion Fourier Transform Ion Cyclotron Resonance MS	Direct Infusion
MTBLS355	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS356	NMR	Nuclear Magnetic Resonance	NMR
MTBLS358	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS358	DI-LTQ-MS	Direct Infusion Linear Trap Quadrupole MS	Direct Infusion
MTBLS359	LC-LTQ-MS	Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS360	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS361	NMR	Nuclear Magnetic Resonance	NMR
MTBLS362	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS363	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS364	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS366	DI-FT-ICR-MS	Direct Infusion Fourier Transform Ion Cyclotron Resonance MS	Direct Infusion
MTBLS367	NMR	Nuclear Magnetic Resonance	NMR
MTBLS368	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS368	UPLC-TQ-MS/MS	Ultra Performance Liquid Chromatography Triple Quarupole Tandem MS	LC-MS
MTBLS370	GC-LTQ-MS	Gas Chromatography Linear Trap Quadrupole MS	GC-MS
MTBLS372	HPLC-QTOF-MS/MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS373	FIA-QTOF-MS	Flow Injection Analysis Quadrupole Time-Of-Flight MS	Direct Infusion
MTBLS374	NMR	Nuclear Magnetic Resonance	NMR
MTBLS375	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS376	CE-TOF-MS	Capillary Electrophoresis Time-Of-Flight MS	Direct Infusion
MTBLS378	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS379	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS380	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS381	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS382	NMR	Nuclear Magnetic Resonance	NMR
MTBLS383	REI-QTOF-MS	Rapid Evaporative Ionisation Quadrupole Time-Of-Flight MS	REI
MTBLS384	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS385	3D DESI imaging MS	3-Dimensional Desorption Electrospray Ionization imaging MS (3D DESI imaging MS)	Imaging
MTBLS386	NMR	Nuclear Magnetic Resonance	NMR
MTBLS387	NMR	Nuclear Magnetic Resonance	NMR
MTBLS389	UPLC-TOF-MS	Ultra Performance Liquid Chromatography Time-Of-Flight MS	LC-MS
MTBLS390	GC-FID	Gas Chromatography Flame Ionisation Detector	GC-MS
MTBLS391	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS391	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS391	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS392	GCxGC-TOF-MS	Tandem Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS393	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS394	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS394	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS394	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS394	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS395	NMR	Nuclear Magnetic Resonance	NMR
MTBLS396	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS396	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS396	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS396	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS397	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS398	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS398	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS398	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS399	NMR	Nuclear Magnetic Resonance	NMR
MTBLS400	MAS-NMR	Magic Angle Spinning-Nuclear Magnetic Resonance	NMR
MTBLS401	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS402	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS403	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS404	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS405	HPLC-TQ-MS/MS	High Performance Liquid Chromatography Triple Quarupole Tandem MS	LC-MS
MTBLS408	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS409	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS410	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS411	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS412	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS413	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS414	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS415	3D DESI imaging MS	3-Dimensional Desorption Electrospray Ionization imaging MS (3D DESI imaging MS)	Imaging
MTBLS417	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS418	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS419	NMR	Nuclear Magnetic Resonance	NMR
MTBLS420	GC-QIT-MS	Gas Chromatography Quadrupole Ion Trap MS	GC-MS
MTBLS422	NMR	Nuclear Magnetic Resonance	NMR
MTBLS423	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS424	NMR	Nuclear Magnetic Resonance	NMR
MTBLS425	NMR	Nuclear Magnetic Resonance	NMR
MTBLS426	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS427	SPE-IMS-MS	Solid-Phase Extraction Ion Mobility Spectrometry MS	SPE
MTBLS428	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS429	UPLC-TQ-MS/MS	Ultra Performance Liquid Chromatography Triple Quarupole Tandem MS	LC-MS
MTBLS430	NMR	Nuclear Magnetic Resonance	NMR
MTBLS431	NMR	Nuclear Magnetic Resonance	NMR
MTBLS432	UPLC-IT-TOF-MS/MS	Ultra Performance Liquid Chromatography Ion Trap Time-Of-Flight Tandem MS	LC-MS
MTBLS433	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS434	UPLC-TQ-MS/MS	Ultra Performance Liquid Chromatography Triple Quarupole Tandem MS	LC-MS
MTBLS435	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS436	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS437	GC-QTOF-MS	Gas Chromatography Quadrupole Time-Of-Flight MS	GC-MS
MTBLS441	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS444	NMR	Nuclear Magnetic Resonance	NMR
MTBLS445	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS447	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS449	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS450	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS451	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS452	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS453	NMR	Nuclear Magnetic Resonance	NMR
MTBLS454	HPLC-QTOF-MS/MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS455	NMR	Nuclear Magnetic Resonance	NMR
MTBLS456	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS457	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS459	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS460	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS461	LC-FT-ICR-MS	Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS	LC-MS
MTBLS461	LC-LTQ-FT-MS/MS	Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS	LC-MS
MTBLS461	LC-TQ-MS	Liquid Chromatography Triple Quadrupole MS	LC-MS
MTBLS462	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS463	NMR	Nuclear Magnetic Resonance	NMR
MTBLS464	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS465	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS470	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS471	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS472	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS473	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS478	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS479	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS481	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS482	In vivo MRS	In vivo Magnetic Resonance Spectroscopy	LC-MS
MTBLS483	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS484	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS487	3D MALDI imaging MS	3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS	MS
MTBLS488	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS492	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS492	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS493	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS494	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS495	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS496	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS497	TD-GC-TOF-MS	Thermal Desorption-Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS516	NMR	Nuclear Magnetic Resonance	NMR
MTBLS517	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS518	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS519	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS520	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS522	GC-TQ-MS	Gas Chromatography Triple Quarupole MS	GC-MS
MTBLS523	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS524	NMR	Nuclear Magnetic Resonance	NMR
MTBLS525	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS526	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS527	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS527	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS528	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS529	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS530	LC-TOF-MS	Liquid Chromatography Time-Of-Flight MS	LC-MS
MTBLS531	HPLC-QTOF-MS/MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS532	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS535	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS535	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS536	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS538	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS539	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS539	NMR	Nuclear Magnetic Resonance	NMR
MTBLS539	MAS-NMR	Magic Angle Spinning-Nuclear Magnetic Resonance	NMR
MTBLS540	NMR	Nuclear Magnetic Resonance	NMR
MTBLS541	NMR	Nuclear Magnetic Resonance	NMR
MTBLS542	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS543	NMR	Nuclear Magnetic Resonance	NMR
MTBLS545	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS546	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS547	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS548	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS549	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS552	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS552	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS553	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS554	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS555	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS558	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS559	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS560	NMR	Nuclear Magnetic Resonance	NMR
MTBLS561	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS562	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS564	NMR	Nuclear Magnetic Resonance	NMR
MTBLS566	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS567	LC-LTQ-MS/MS	Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS570	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS571	HPLC-QTOF-MS/MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS572	HPLC-QTOF-MS/MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS573	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS574	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS575	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS576	NMR	Nuclear Magnetic Resonance	NMR
MTBLS577	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS578	HPLC-LTQ-MS/MS	High Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS579	GCxGC-TOF-MS	Tandem Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS581	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS582	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS591	HPLC-QTOF-MS	High Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS597	3D MALDI imaging MS	3-Dimensional Matrix Assisted Laser Desorption/Ionization Imaging MS	MS
MTBLS598	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS602	NMR	Nuclear Magnetic Resonance	NMR
MTBLS614	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS616	DI-LTQ-MS	Direct Infusion Linear Trap Quadrupole MS	Direct Infusion
MTBLS618	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS619	NMR	Nuclear Magnetic Resonance	NMR
MTBLS619	MAS-NMR	Magic Angle Spinning-Nuclear Magnetic Resonance	NMR
MTBLS620	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS622	NMR	Nuclear Magnetic Resonance	NMR
MTBLS626	NMR	Nuclear Magnetic Resonance	NMR
MTBLS629	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS630	HPLC-LTQ-MS	High Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS631	UPLC-QTOF-MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS	LC-MS
MTBLS633	CE-TOF-MS	Capillary Electrophoresis Time-Of-Flight MS	Direct Infusion
MTBLS634	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS640	NMR	Nuclear Magnetic Resonance	NMR
MTBLS641	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS643	NMR	Nuclear Magnetic Resonance	NMR
MTBLS648	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS650	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS650	UPLC-LTQ-MS/MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS652	UFLC-LTQ-MS/MS	Ultra Fast Liquid Chromatography Linear Trap Quadrupole Tandem MS	LC-MS
MTBLS654	NMR	Nuclear Magnetic Resonance	NMR
MTBLS656	UPLC-TQ-MS	Ultra Performance Liquid Chromatography Triple Quarupole MS	LC-MS
MTBLS658	NMR	Nuclear Magnetic Resonance	NMR
MTBLS661	UPLC-TQ-MS/MS	Ultra Performance Liquid Chromatography Triple Quarupole Tandem MS	LC-MS
MTBLS664	LC-LTQ-MS	Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS665	LC-LTQ-MS	Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS667	NMR	Nuclear Magnetic Resonance	NMR
MTBLS669	NMR	Nuclear Magnetic Resonance	NMR
MTBLS672	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS673	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS674	DI-TQ-MS/MS	Direct Infusion Triple Quadrupole Tandem MS	Direct Infusion
MTBLS674	UPLC-TQ-MS/MS	Ultra Performance Liquid Chromatography Triple Quarupole Tandem MS	LC-MS
MTBLS675	NMR	Nuclear Magnetic Resonance	NMR
MTBLS687	GC-Q-MS	Gas Chromatography Quadrupole MS	GC-MS
MTBLS690	GC-TOF-MS	Gas Chromatography Time-Of-Flight MS	GC-MS
MTBLS690	UPLC-QTOF-MS/MS	Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS	LC-MS
MTBLS691	LC-LTQ-MS	Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS693	UPLC-LTQ-MS	Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS	LC-MS
MTBLS694	NMR	Nuclear Magnetic Resonance	NMR
