ID	Target	Untarget
MTBLS372	0	1
MTBLS373	0	1
MTBLS374	0	1
MTBLS375	0	1
MTBLS376	0	1
MTBLS378	0	1
MTBLS379	0	1
MTBLS380	1	0
MTBLS381	0	1
MTBLS382	0	1
MTBLS383	0	1
MTBLS384	0	1
MTBLS385	0	1
MTBLS386	0	1
MTBLS387	1	1
MTBLS389	1	0
MTBLS390	1	0
MTBLS391	0	1
MTBLS392	0	1
MTBLS393	0	1
MTBLS394	0	1
MTBLS395	1	0
MTBLS396	0	1
MTBLS397	0	1
MTBLS398	0	1
MTBLS399	0	1
MTBLS400	0	1
MTBLS401	0	1
MTBLS402	0	1
MTBLS403	0	1
MTBLS404	0	1
MTBLS405	1	0
MTBLS408	0	1
MTBLS409	1	0
MTBLS410	1	0
MTBLS411	0	1
MTBLS412	1	0
MTBLS413	0	1
MTBLS414	0	1
MTBLS415	0	1
MTBLS417	0	1
MTBLS418	0	1
MTBLS419	1	0
MTBLS420	0	1
MTBLS422	0	1
MTBLS423	0	1
MTBLS424	1	0
MTBLS425	0	1
MTBLS426	0	1
MTBLS427	1	1
MTBLS428	1	0
MTBLS429	1	0
MTBLS430	0	1
MTBLS431	0	1
MTBLS432	0	1
MTBLS433	1	1
MTBLS434	1	0
MTBLS435	1	0
MTBLS436	0	1
MTBLS437	0	1
MTBLS441	0	1
MTBLS444	0	1
MTBLS445	0	1
MTBLS447	0	1
MTBLS449	1	0
MTBLS450	0	1
MTBLS451	0	1
MTBLS452	0	1
MTBLS453	0	1
MTBLS454	0	1
MTBLS455	0	1
MTBLS456	0	1
MTBLS457	0	1
MTBLS459	0	1
MTBLS460	0	1
MTBLS461	1	1
MTBLS462	0	1
MTBLS463	0	1
MTBLS464	0	1
MTBLS465	0	1
MTBLS470	0	1
MTBLS471	0	1
MTBLS472	0	0
MTBLS473	0	1
MTBLS478	0	1
MTBLS479	0	1
MTBLS481	0	1
MTBLS482	0	1
MTBLS483	0	1
MTBLS484	0	1
MTBLS487	0	0
MTBLS488	1	0
MTBLS492	0	1
MTBLS493	0	1
MTBLS494	0	1
MTBLS495	0	1
MTBLS496	0	1
MTBLS497	0	1
MTBLS516	0	1
MTBLS517	0	1
MTBLS518	0	1
MTBLS519	0	1
MTBLS520	0	1
MTBLS522	0	1
MTBLS523	0	1
MTBLS524	0	1
MTBLS525	0	1
MTBLS526	0	1
MTBLS527	0	1
MTBLS528	0	1
MTBLS529	0	1
MTBLS530	0	1
MTBLS531	1	0
MTBLS532	0	1
MTBLS535	1	1
MTBLS536	0	0
MTBLS538	0	1
MTBLS539	1	1
MTBLS540	0	1
MTBLS541	0	1
MTBLS542	0	1
MTBLS543	0	1
MTBLS545	0	1
MTBLS546	1	0
MTBLS547	1	0
MTBLS548	1	0
MTBLS549	0	1
MTBLS552	1	1
MTBLS553	1	1
MTBLS554	1	0
MTBLS555	0	1
MTBLS558	0	1
MTBLS559	0	1
