Classify,Study type,Full Name
SPE,SPME-GC-Q-MS,Solid-Phase-Micro-Extraction Gas Chromatography Quadrupole MS
SPE,SPME-GCxGC-TOF-MS,Solid-Phase-Micro-Extraction Tandem Gas Chromatography Time-Of-Flight MS
GC-MS,TD-GC-TOF-MS,Thermal Desorption-Gas Chromatography Time-Of-Flight MS
GC-MS,TD-GC-Q-MS,Thermal Desorption-Gas Chromatography Quarupole MS
MS,TQ-MS,Triple Quarupole MS
LC-MS,UFLC-LTQ-MS,Ultra Fast Liquid Chromatography Linear Trap Quadrupole MS
LC-MS,UFLC-LTQ-MS/MS,Ultra Fast Liquid Chromatography Linear Trap Quadrupole Tandem MS
LC-MS,UFLC-QTOF-MS,Ultra Fast Liquid Chromatography Quadrupole Time-Of-Flight MS
LC-MS,UFLC-QTOF-MS/MS,Ultra Fast Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS
LC-MS,UPLC-DAD,Ultra Performance Liquid Chromatography Diode Array Detection
LC-MS,UPLC-FT-ICR-MS,Ultra Performance Liquid Chromatography Fourier Transform Ion Cyclotron Resonance MS
LC-MS,UPLC-IT-TOF-MS,Ultra Performance Liquid Chromatography Ion Trap Time-Of-Flight MS
LC-MS,UPLC-IT-TOF-MS/MS,Ultra Performance Liquid Chromatography Ion Trap Time-Of-Flight Tandem MS
LC-MS,UPLC-LTQ-FT-MS,Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform MS
LC-MS,UPLC-LTQ-FT-MS/MS,Ultra Performance Liquid Chromatography Linear Trap Quadrupole Fourier Transform Tandem MS
LC-MS,UPLC-LTQ-MS,Ultra Performance Liquid Chromatography Linear Trap Quadrupole MS
LC-MS,UPLC-LTQ-MS/MS,Ultra Performance Liquid Chromatography Linear Trap Quadrupole Tandem MS
LC-MS,UPLC-MS,Ultra Performance Liquid Chromatography MS
LC-MS,UPLC-MS/MS,Ultra Performance Liquid Chromatography Tandem MS
LC-MS,UPLC-QTOF-MS,Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight MS
LC-MS,UPLC-QTOF-MS/MS,Ultra Performance Liquid Chromatography Quadrupole Time-Of-Flight Tandem MS
LC-MS,UPLC-TOF-MS,Ultra Performance Liquid Chromatography Time-Of-Flight MS
LC-MS,UPLC-TQ-MS,Ultra Performance Liquid Chromatography Triple Quarupole MS
LC-MS,UPLC-TQ-MS/MS,Ultra Performance Liquid Chromatography Triple Quarupole Tandem MS
LC-MS,UPLC,Ultra Performance Liquid Chromatography
LC-MS,SESI-LTQ-MS,Secondary Electrospray Ionization Mass Spectrometry
