studyID	organismPart
MTBLS191	blood plasma
MTBLS192	blood serum
MTBLS193	whole organism
MTBLS193	mixture
MTBLS193	whole organism
MTBLS193	blank
MTBLS194	urine
MTBLS195	rosette leaf
MTBLS196	lung
MTBLS197	brain
MTBLS198	urine
MTBLS199	reference compound
MTBLS199	blood plasma
MTBLS200	blood serum
MTBLS201	
MTBLS202	HaCaT cell
MTBLS203	rosette leaf
MTBLS204	
MTBLS205	
MTBLS206	
MTBLS207	
MTBLS208	whole organism
MTBLS209	berry
MTBLS210	whole organism
MTBLS210	blank
MTBLS211	
MTBLS212	Wine
MTBLS213	ARPE-19 cell
MTBLS214	IOBA-NHC cell
MTBLS215	pure substance
MTBLS216	blood serum
MTBLS217	brain
MTBLS218	blood serum
MTBLS218	solvent
MTBLS219	mixture
MTBLS219	liver
MTBLS219	water
MTBLS220	
MTBLS221	
MTBLS222	blood serum
MTBLS223	PBS
MTBLS223	blood plasma
MTBLS223	Blank
MTBLS223	calibrant
MTBLS224	whole plant
MTBLS225	liver
MTBLS226	JURKAT cell
MTBLS227	C-10 cell
MTBLS228	whole organism
MTBLS229	EFO:whole organism
MTBLS230	mixture
MTBLS230	HCT-116 cell
MTBLS230	mixture
MTBLS230	mixture
MTBLS230	mixture
MTBLS231	calibrant
MTBLS231	blank
MTBLS231	blood plasma
MTBLS232	serum
MTBLS233	renal tubule
MTBLS233	blank
MTBLS234	blood plasma
MTBLS235	simulated data
MTBLS236	HCT-116 cell
MTBLS237	feces
MTBLS238	blood plasma
MTBLS239	blood serum
MTBLS240	blood serum
MTBLS241	mixture
MTBLS241	MCF-7 cell
MTBLS242	blood serum
MTBLS243	blood plasma
MTBLS244	glucose
MTBLS244	peritoneal macrophage
MTBLS245	urine
MTBLS246	urine
MTBLS247	U2-OS cell
MTBLS248	urine
MTBLS249	blood plasma
MTBLS250	urine
MTBLS251	plasma
MTBLS252	skeletal muscle
MTBLS253	blood serum
MTBLS254	
MTBLS254	
MTBLS255	
MTBLS256	left ventricle
MTBLS257	heart
MTBLS258	plasma
MTBLS258	plasma
MTBLS258	not applicable
MTBLS259	whole organism
MTBLS259	whole organism
MTBLS259	whole organism
MTBLS260	whole organism
MTBLS261	adipose tissue
MTBLS262	liver
MTBLS262	not applicable
MTBLS263	blood
MTBLS264	blood
MTBLS265	blood
MTBLS266	blood plasma
MTBLS267	erythrocyte
MTBLS268	blood
MTBLS269	blood
MTBLS270	rosette leaf
MTBLS271	brain
MTBLS272	callus
MTBLS273	breast cancer cell
MTBLS274	leaf
MTBLS275	blood serum
MTBLS276	water
MTBLS276	testis
MTBLS276	whole organism
MTBLS276	CHEBI:2'-deoxyadenosine
MTBLS277	lung
MTBLS278	liver
MTBLS279	blood serum
MTBLS280	blood serum
MTBLS281	exometabolome
MTBLS281	exometabolome
MTBLS281	exometabolome
MTBLS281	exometabolome
MTBLS281	exometabolome
MTBLS282	liver cancer cell
MTBLS283	pre-B-lymphocyte
MTBLS284	
MTBLS285	semen
MTBLS286	seed
MTBLS286	blank
MTBLS287	seed
MTBLS287	blank
MTBLS288	blank
MTBLS288	seed
MTBLS289	colorectal adenocarcinoma cell
MTBLS290	urine
MTBLS290	blank
MTBLS291	whole organism
MTBLS291	brain
MTBLS291	egg
MTBLS291	mixture
MTBLS292	U2-OS cell
MTBLS292	liver
MTBLS293	endometabolome
MTBLS294	
MTBLS295	endometabolome
MTBLS296	whole organism
MTBLS297	leaf
MTBLS297	leaf
MTBLS298	blood serum
MTBLS299	
MTBLS300	
MTBLS301	
MTBLS302	
MTBLS303	liver
MTBLS304	whole organism
MTBLS305	
MTBLS306	urine
MTBLS306	mixture
MTBLS307	mixture
MTBLS307	urine
MTBLS307	blank
MTBLS308	liver
MTBLS309	leaf lamina
MTBLS310	
MTBLS311	cell suspension culture
MTBLS312	leaf lamina
MTBLS313	brain
MTBLS313	brain
MTBLS314	
MTBLS315	blood plasma
MTBLS316	whole organism
MTBLS317	simulated squares
MTBLS318	
MTBLS319	whole organism
MTBLS320	whole organism
MTBLS321	blood plasma
MTBLS322	muscle
MTBLS323	blood serum
MTBLS323	Blank
