Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS58	" ""epik_dhb_head_ito01_01"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito01_02"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito01_03"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito01_04"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito01_05"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito01_06"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito03_13"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito03_14"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito03_16"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito03_17"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito03_18"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito08_43"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito08_44"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito08_46"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito08_47"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
MTBLS58	" ""epik_dhb_head_ito08_48"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116			
