Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS10	" ""02sa00l00h1a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa00l00h1b1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa00l00h1c1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa00l00h1d1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa00l00h1e1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l01h1a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l01h2a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l01h3a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l01h4a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l01h5a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l02h1a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l02h2a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l02h3a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l02h4a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l02h5a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS10	" ""02sa01l04h1a1"""	Nicotiana attenuata	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/49451	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
