Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS532	" ""IWM Lab"""	6			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	19			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	32			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	48			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	57			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	70			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	74			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	96			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	106			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	114			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	9			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	21			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	31			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	40			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	56			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	72			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	83			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	91			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	102			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	109			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	4			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	16			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	34			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	47			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	54			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
MTBLS532	" ""IWM Lab"""	69			Eisenia fetida	EFO	http://purl.obolibrary.org/obo/NCBITaxon_6396
