Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS494	" ""root of PG"""	radix of Platycodon grandiflorum (PG) 					
MTBLS494	" ""root of PG"""	radix of Platycodon grandiflorum (PG) 					
MTBLS494	" ""stem of PG"""	stem of Platycodon grandiflorum (PG) 					
MTBLS494	" ""stem of PG"""	stem of Platycodon grandiflorum (PG) 					
MTBLS494	" ""leave of PG"""	leave of Platycodon grandiflorum (PG) 					
MTBLS494	" ""leave of PG"""	leave of Platycodon grandiflorum (PG) 					
MTBLS494	" ""seed of PG"""	seed of Platycodon grandiflorum (PG) 					
MTBLS494	" ""seed of PG"""	seed of Platycodon grandiflorum (PG) 					
