Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS156	" ""A2780_24h_d_1"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_d_2"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_d_3"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_d_4"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_d_5"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_d_6"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_d_7"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_d_8"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_d_9"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_d_10"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_c_21"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_c_22"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_c_23"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_c_24"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_c_25"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_c_26"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
MTBLS156	" ""A2780_24h_c_27"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	A2780 cell	CLO	http://purl.obolibrary.org/obo/CLO_0001571
