Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
MTBLS277	" ""A549"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	lung	BTO	http://purl.obolibrary.org/obo/BTO_0000763
