Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
MTBLS132	" ""UF700_Tomato"""	Solanum lycopersicum	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4081	Solanum lycopersicum cv. Moneymaker		
