Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS57	" ""uCol0_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uCol0_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uCol0_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""utt4_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""utt4_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""utt4_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uMYB12OXtt4_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uMYB12OXtt4_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uMYB12OXtt4_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""upap1Dtt4_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""upap1Dtt4_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""upap1Dtt4_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uMYB12OX_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uMYB12OX_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uMYB12OX_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""upap1D_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""upap1D_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""upap1D_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uWOX1_1_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uWOX1_1_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uWOX1_1_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uWOX1_2_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uWOX1_2_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""uWOX1_2_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	aerial part	BTO	http://purl.obolibrary.org/obo/BTO_0001658
MTBLS57	" ""dCol0_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dCol0_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dCol0_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dtt4_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dtt4_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dtt4_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dMYB12OXtt4_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dMYB12OXtt4_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dMYB12OXtt4_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dpap1Dtt4_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dpap1Dtt4_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dpap1Dtt4_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dMYB12OX_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dMYB12OX_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dMYB12OX_3"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dpap1D_1"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
MTBLS57	" ""dpap1D_2"""	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	rosette leaf	BTO	http://purl.obolibrary.org/obo/BTO_0003086
