Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS372	" ""HGH-A1"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-A2"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-A3"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-B1"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-B2"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-B3"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-C1"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-C2"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-C3"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-D1"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-D2"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-D3"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-E1"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-E2"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""HGH-E3"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""UGH-F1"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""UGH-F2"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""UGH-F3"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
MTBLS372	" ""UGH-G1"""	Fraxinus excelsior	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/38873	leaf	BTO	http://purl.obolibrary.org/obo/BTO_0000713
