Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS557	" ""L11"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.09	liter per minute
MTBLS557	" ""L10"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.84	liter per minute
MTBLS557	" ""L14"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.53	liter per minute
MTBLS557	" ""L10"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.63	liter per minute
MTBLS557	" ""L09"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.95	liter per minute
MTBLS557	" ""L14"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.05	liter per minute
MTBLS557	" ""L14"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.02	liter per minute
MTBLS557	" ""L10"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.92	liter per minute
MTBLS557	" ""L11"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.48	liter per minute
MTBLS557	" ""L09"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.55	liter per minute
MTBLS557	" ""L09"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.49	liter per minute
MTBLS557	" ""L09"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.55	liter per minute
MTBLS557	" ""L10"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.45	liter per minute
MTBLS557	" ""L11"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.58	liter per minute
MTBLS557	" ""L14"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.48	liter per minute
MTBLS557	" ""L11"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.48	liter per minute
MTBLS557	" ""L11"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.56	liter per minute
MTBLS557	" ""L14"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.52	liter per minute
MTBLS557	" ""L05"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.88	liter per minute
MTBLS557	" ""L07"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.02	liter per minute
MTBLS557	" ""L04"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.5	liter per minute
MTBLS557	" ""L07"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.47	liter per minute
MTBLS557	" ""L04"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.56	liter per minute
MTBLS557	" ""L05"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.48	liter per minute
MTBLS557	" ""L07"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.5	liter per minute
MTBLS557	" ""L04"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.53	liter per minute
MTBLS557	" ""L05"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.5	liter per minute
MTBLS557	" ""L12"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.34	liter per minute
MTBLS557	" ""L08"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.84	liter per minute
MTBLS557	" ""L02"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.87	liter per minute
MTBLS557	" ""L13"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.07	liter per minute
MTBLS557	" ""L01"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.09	liter per minute
MTBLS557	" ""L08"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.88	liter per minute
MTBLS557	" ""L13"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.49	liter per minute
MTBLS557	" ""L12"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.46	liter per minute
MTBLS557	" ""L08"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.95	liter per minute
MTBLS557	" ""L01"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.73	liter per minute
MTBLS557	" ""L02"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.5	liter per minute
MTBLS557	" ""L02"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.51	liter per minute
MTBLS557	" ""L12"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.62	liter per minute
MTBLS557	" ""L13"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.5	liter per minute
MTBLS557	" ""L01"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.57	liter per minute
MTBLS557	" ""L12"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.53	liter per minute
MTBLS557	" ""L02"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.55	liter per minute
MTBLS557	" ""L13"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.48	liter per minute
MTBLS557	" ""L12"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.57	liter per minute
MTBLS557	" ""L08"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.07	liter per minute
MTBLS557	" ""L02"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.15	liter per minute
MTBLS557	" ""L06"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.15	liter per minute
MTBLS557	" ""L03"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.95	liter per minute
MTBLS557	" ""L01"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.11	liter per minute
MTBLS557	" ""L13"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.66	liter per minute
MTBLS557	" ""L03"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.59	liter per minute
MTBLS557	" ""L06"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.52	liter per minute
MTBLS557	" ""L06"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.52	liter per minute
MTBLS557	" ""L03"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.69	liter per minute
MTBLS557	" ""L01"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.97	liter per minute
MTBLS557	" ""Z04"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.95	liter per minute
MTBLS557	" ""Z05"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.23	liter per minute
MTBLS557	" ""Z03"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.09	liter per minute
MTBLS557	" ""Z05"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.94	liter per minute
MTBLS557	" ""Z04"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	liter per minute
MTBLS557	" ""Z02"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.43	liter per minute
MTBLS557	" ""Z02"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.86	liter per minute
MTBLS557	" ""Z02"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.71	liter per minute
MTBLS557	" ""Z01"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.72	liter per minute
MTBLS557	" ""Z01"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.04	liter per minute
MTBLS557	" ""Z01"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.07	liter per minute
MTBLS557	" ""Z05"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.94	liter per minute
MTBLS557	" ""Z03"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.25	liter per minute
MTBLS557	" ""Z03"""	3	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.86	liter per minute
MTBLS557	" ""Z04"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.28	liter per minute
MTBLS557	" ""Z04"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.85	liter per minute
MTBLS557	" ""Z01"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.45	liter per minute
MTBLS557	" ""Z04"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.15	liter per minute
MTBLS557	" ""Z03"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.92	liter per minute
MTBLS557	" ""Z03"""	5	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.54	liter per minute
MTBLS557	" ""Z03"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.68	liter per minute
MTBLS557	" ""Z03"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.68	liter per minute
MTBLS557	" ""Z04"""	7	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.48	liter per minute
MTBLS557	" ""Z01"""	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	0.58	liter per minute
MTBLS557	" ""Z06"""	4	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.04	liter per minute
MTBLS557	" ""Z10"""	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1.13	liter per minute
