Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS599	" ""W03.01"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W03.02"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W03.03"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W03.04"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W03.05"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W03.06"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W03.07"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W03.08"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W03.09"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W03.10"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.01"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.02"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.03"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.04"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.05"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.06"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.07"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.08"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.09"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
MTBLS599	" ""W30.10"""	Drosophila melanogaster x Drosophila simulans	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1128429	head	BTO	http://purl.obolibrary.org/obo/BTO_0000282
