Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS461	" ""DilExp_1"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_2"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_3"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_4"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_5"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_6"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_7"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_8"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_9"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_10"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_11"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_12"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_13"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_14"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
MTBLS461	" ""DilExp_15"""	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome		
