Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish  beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british beef mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef lean steak"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""irish beef steak mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british pork lean mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british pork lean mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british pork lean mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british pork lean mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""british pork lean mince"""	Pork and Beef minced meat			minced meat		
MTBLS344	" ""Source Name"""	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number
MTBLS344	" ""irish  beef mince"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9913	minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
MTBLS344	" ""irish  beef mince"""	Bos taurus;NCBITAXON:Sus scrofa 	NCBITAXON		minced meat		
