Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS340	" ""C-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""C-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""C-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""C-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""C-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""C-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""M-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""M-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""M-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""M-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""M-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""M-P"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS340	" ""C-U"""	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	urine	BTO	http://purl.obolibrary.org/obo/BTO_0001419
