Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS319	" ""B11"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B12"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B13"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B14"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B15"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B16"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B17"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B18"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B19"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B110"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B111"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B112"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
MTBLS319	" ""B113"""	Pseudomonas putida	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/303	Pseudomonas putida DOT-T1E	PR	http://purl.obolibrary.org/obo/NCBITaxon_1196325
