Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS98	" ""Extraction Blank"""	blank			mixture	CHEBI	http://purl.obolibrary.org/obo/CHEBI_60004
MTBLS98	" ""Uninfected red blood cell"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""WT Trophozoite"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""KO Trophozoite"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""WT  Gametocytes Stage 1"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""KO Gametocytes Stage 1"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""WT  Gametocytes Stage 2"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""KO Gametocytes Stage 2"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""WT  Gametocytes Stage 3"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""KO Gametocytes Stage 3"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""WT  Gametocytes Stage 4"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""KO Gametocytes Stage 4"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""WT  Gametocytes Stage 5"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""KO Gametocytes Stage 5"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""Extraction blank"""	blank			mixture	CHEBI	http://purl.obolibrary.org/obo/CHEBI_60004
MTBLS98	" ""Uninfected red blood cell"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
MTBLS98	" ""WT Trophozoite"""	Homo sapiens/NCBITAXON:Plasmodium falciparum	NCBITAXON		blood	BTO	http://purl.obolibrary.org/obo/BTO_0000089
