Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS472	" ""Rutkowski_WT_O_Subject 4"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_O_Subject 3"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_O_Subject 2"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_O_Subject 1"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_48_Subject 4"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_48_Subject 3"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_48_Subject 2"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_48_Subject 1"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-O_Subject 4"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-O_Subject 3"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-O_Subject 2"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-O_Subject 1"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 5"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 4"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 3"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 2"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 1"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_48_Subject 4"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_48_Subject 3"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_48_Subject 2"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_48_Subject 1"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_O_Subject 4"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_O_Subject 3"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_O_Subject 2"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_WT_O_Subject 1"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-O_Subject 4"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-O_Subject 3"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-O_Subject 2"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-O_Subject 1"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 5"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 4"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 3"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 2"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
MTBLS472	" ""Rutkowski_1-48-Subject 1"""	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	kidney	BTO	http://purl.obolibrary.org/obo/BTO_0000671
