Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS70	" ""Dermal (stalk outer layer)"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Stalk		
MTBLS70	" ""Dermal (stalk outer layer)"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Stalk		
MTBLS70	" ""Dermal (stalk outer layer)"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Stalk		
MTBLS70	" ""Dermal (stalk outer layer)"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Stalk		
MTBLS70	" ""Dermal (stalk outer layer)"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Stalk		
MTBLS70	" ""Dermal (stalk outer layer)"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Stalk		
MTBLS70	" ""Dermal (stalk outer layer)"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Stalk		
MTBLS70	" ""Dermal (stalk outer layer)"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Stalk		
MTBLS70	" ""Dermal (stalk outer layer)"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Stalk		
MTBLS70	" ""Seed Head"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Seed Head		
MTBLS70	" ""Seed Head"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Seed Head		
MTBLS70	" ""Seed Head"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Seed Head		
MTBLS70	" ""Seed Head"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Seed Head		
MTBLS70	" ""Seed Head"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Seed Head		
MTBLS70	" ""Seed Head"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Seed Head		
MTBLS70	" ""Seed Head"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Seed Head		
MTBLS70	" ""Seed Head"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Seed Head		
MTBLS70	" ""Seed Head"""	Sorghum bicolor	NCBITaxon	obo:NCBITaxon_4558	Seed Head		
