Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS537	" ""160915_W43"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_W43"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_W51"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_W51"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_W55"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_W55"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_W76"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_W76"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_T45"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_T45"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_T53"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_T53"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_T54"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_T54"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_T75"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
MTBLS537	" ""160915_T75"""	Gallus gallus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9031	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131
