Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS445	" ""Espeletia11"""	E._aristeguietana_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia12"""	E._aristeguietana_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia18"""	E._batata_Cuatrec.×_E._schultzii_Wedd.			young rossete leaf		
MTBLS445	" ""Espeletia19"""	E._batata_Cuatrec.*			young rossete leaf		
MTBLS445	" ""Espeletia35"""	E._cuniculorum_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia58"""	E._jajoensis_Aristeg.			young rossete leaf		
MTBLS445	" ""Espeletia59"""	E._jajoensis_Aristeg.			young rossete leaf		
MTBLS445	" ""Espeletia77"""	E._nana_Cuatrec.*			young rossete leaf		
MTBLS445	" ""Espeletia78"""	E._nana_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia99"""	E._schultzii_×_Co._moritziana_x_E._weddellii_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia100"""	E._schultzii_Wedd._×_E._jajoensis_Aristeg.			young rossete leaf		
MTBLS445	" ""Espeletia101"""	E._schultzii_Wedd.*			young rossete leaf		
MTBLS445	" ""Espeletia102"""	E._schultzii_Wedd.			young rossete leaf		
MTBLS445	" ""Espeletia103"""	E._semiglobulata_Cuatrec.*			young rossete leaf		
MTBLS445	" ""Espeletia111"""	E._tenorae_Aristeg._×_E._schultzii_Wedd.			young rossete leaf		
MTBLS445	" ""Espeletia112"""	E._tenorae_cf._Aristeg.*			young rossete leaf		
MTBLS445	" ""Espeletia117"""	E._ulotricha_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia120"""	E._weddellii_Sch._Bip._ex_Wedd.*			young rossete leaf		
MTBLS445	" ""Espeletia26"""	E._brassicoidea_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia27"""	E._brassicoidea_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia30"""	E._cleefii_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia32"""	E._conglomerata_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia41"""	E._dugandii_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia42"""	E._dugandii_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia44"""	E._estanislana_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia45"""	E._estanislana_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia83"""	E._sp_6			young rossete leaf		
MTBLS445	" ""Espeletia93"""	E._robertii_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia94"""	E._robertii_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia104"""	E._standleyana_A._C._Sm.			young rossete leaf		
MTBLS445	" ""Espeletia105"""	E._standleyana_A._C._Sm.			young rossete leaf		
MTBLS445	" ""Espeletia106"""	E._steyermarkii_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia107"""	E._steyermarkii_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia5"""	E._argentea_Humb._&_Bonpl._×_E._barclayana_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia6"""	E._argentea_f._phaneractis_(S._F._Blake)_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia7"""	E._argentea_f._phaneractis_(S._F._Blake)_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia8"""	E._argentea_Humb._&_Bonpl.*			young rossete leaf		
MTBLS445	" ""Espeletia15"""	E._barclayana_Cuatrec.*			young rossete leaf		
MTBLS445	" ""Espeletia16"""	E._barclayana_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia17"""	E._barclayana_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia37"""	E._sp_2			young rossete leaf		
MTBLS445	" ""Espeletia38"""	E._sp_2			young rossete leaf		
MTBLS445	" ""Espeletia50"""	E._grandiflora_Humb._&_Bonpl.*			young rossete leaf		
MTBLS445	" ""Espeletia51"""	E._grandiflora_Humb._&_Bonpl.			young rossete leaf		
MTBLS445	" ""Espeletia52"""	E._grandiflora_Humb._&_Bonpl.			young rossete leaf		
MTBLS445	" ""Espeletia53"""	E._grandiflora_Humb._&_Bonpl.			young rossete leaf		
MTBLS445	" ""Espeletia63"""	E._killipii_var._chisacana_Cuatrec.*			young rossete leaf		
MTBLS445	" ""Espeletia64"""	E._killipii_var._chisacana_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia65"""	E._sp_3			young rossete leaf		
MTBLS445	" ""Espeletia66"""	E._sp_3			young rossete leaf		
MTBLS445	" ""Espeletia74"""	E._murilloi_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia108"""	E._summapacis_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia109"""	E._summapacis_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia118"""	E._uribei_Cuatrec.*			young rossete leaf		
MTBLS445	" ""Espeletia119"""	E._uribei_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia48"""	E._frontinoensis_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia49"""	E._frontinoensis_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia54"""	E._idroboi_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia55"""	E._idroboi_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia81"""	E._occidentalis_A._C._Sm.			young rossete leaf		
MTBLS445	" ""Espeletia82"""	E._occidentalis_A._C._Sm.			young rossete leaf		
MTBLS445	" ""Espeletia91"""	E._praefrontina_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia92"""	E._praefrontina_Cuatrec.			young rossete leaf		
MTBLS445	" ""Espeletia98"""	E._schultesiana_Cuatrec.			young rossete leaf		
